mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
gnode001, gnode003
#lambda[usec] (computed) -> 4.73, bandwidth[Mbytes/sec] (computed) -> 12174.79
   #bytes    #repetitions    t[usec]    Mbytes/sec    t[usec] (computed)    Mbytes/sec (computed)
---------  --------------  ---------  ------------  --------------------  -----------------------
        0            1000       1.32             0                  4.73                        0
        1            1000       1.32          0.76                  4.73                     0.21
        2            1000       1.33           1.5                  4.73                     0.42
        4            1000       1.33          3.01                  4.73                     0.84
        8            1000       1.31           6.1                  4.74                     1.69
       16            1000       1.31         12.24                  4.74                     3.38
       32            1000       1.33         24.04                  4.74                     6.76
       64            1000       1.47         43.64                  4.74                     13.5
      128            1000       1.52         84.62                  4.75                    26.98
      256            1000       1.81        141.61                  4.76                    53.83
      512            1000       1.87        274.74                  4.78                   107.19
     1024            1000       2.05        500.75                  4.82                   212.51
     2048            1000       2.71        757.67                   4.9                   417.73
     4096            1000       3.48       1182.47                  5.07                   807.74
     8192            1000        4.3       1910.01                  5.41                  1514.98
    16384            1000       5.99       2737.64                  6.08                  2694.69
    32768            1000      10.51       3117.99                  7.43                  4412.78
    65536             640      13.19       4969.54                 10.12                  6477.89
   131072             320      22.39       5857.15                  15.5                  8456.68
   262144             160      33.61       7802.17                 26.26                  9981.14
   524288              80      56.13       9342.99                 47.79                  10969.9
  1048576              40      99.53       10540.3                 90.85                  11541.6
  2097152              20     185.17       11325.5                176.97                  11850.3
  4194304              10     353.89       11851.9                 349.2                    12011
  8388608               5     695.28       12065.2                693.68                    12093
 16777216               2    1384.01       12122.3               1382.62                  12134.4
 33554432               1    2770.74       12110.4                2760.5                  12155.2
 67108864               1    5508.81       12182.1               5516.26                  12165.6
134217728               1    11034.5       12163.5               11027.8                  12170.9
268435456               1    22016.3       12192.6               22050.8                  12173.5
536870912               1    44112.6       12170.5               44096.9                  12174.8
