mpirun --map-by socket --mca pml ucx -np 2 ./IMB-MPI1 PingPong -msglog 29 
tnode009
#lambda[usec] (computed) -> -55.54, bandwidth[Mbytes/sec] (computed) -> 5423.57
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,0.41,0.0,-55.54,-0.0
1,1000,0.41,2.44,-55.54,-0.02
2,1000,0.4,5.02,-55.54,-0.04
4,1000,0.4,10.05,-55.54,-0.07
8,1000,0.4,20.12,-55.54,-0.14
16,1000,0.4,40.12,-55.54,-0.29
32,1000,0.56,57.2,-55.54,-0.58
64,1000,0.56,114.68,-55.53,-1.15
128,1000,0.88,145.19,-55.52,-2.31
256,1000,0.92,279.48,-55.49,-4.61
512,1000,1.13,452.79,-55.45,-9.23
1024,1000,1.31,781.93,-55.35,-18.5
2048,1000,2.1,976.17,-55.16,-37.13
4096,1000,3.02,1353.83,-54.79,-74.76
8192,1000,4.88,1679.27,-54.03,-151.62
16384,1000,7.85,2089.85,-52.52,-311.97
32768,1000,13.83,2371.93,-49.5,-662.03
65536,640,25.63,2559.26,-43.45,-1508.28
131072,320,47.97,2735.73,-31.36,-4179.52
262144,160,14.58,18033.65,-7.18,-36511.02
524288,80,26.01,20248.16,41.18,12731.15
1048576,40,53.98,19452.62,137.9,7603.65
2097152,20,142.19,14751.8,331.35,6329.12
4194304,10,298.02,14082.47,718.24,5839.69
8388608,5,629.09,13335.8,1492.02,5622.31
16777216,2,2114.08,7936.47,3039.59,5519.57
33554432,1,6063.03,5536.96,6134.71,5469.6
67108864,1,12756.66,5264.89,12324.97,5444.95
134217728,1,25477.96,5270.71,24705.48,5432.71
268435456,1,50303.96,5338.47,49466.51,5426.61
536870912,1,98373.79,5457.53,98988.56,5423.57
