mpiexec -n 2 -ppn 1 -genv I_MPI_FABRICS ofi -genv I_MPI_OFI_PROVIDER mlx ./IMB-MPI1 PingPong -msglog 29
tnode009, tnode010
#lambda[usec] (computed) -> 3.14, bandwidth[Mbytes/sec] (computed) -> 12184.21
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] (computed),Mbytes/sec (computed)
0,1000,1.21,0.0,3.14,0.0
1,1000,1.21,0.83,3.14,0.32
2,1000,1.21,1.65,3.14,0.64
4,1000,1.21,3.3,3.14,1.27
8,1000,1.21,6.62,3.14,2.54
16,1000,1.21,13.21,3.15,5.09
32,1000,1.24,25.73,3.15,10.17
64,1000,1.48,43.15,3.15,20.32
128,1000,1.53,83.46,3.15,40.57
256,1000,2.21,121.25,3.17,80.88
512,1000,1.89,270.68,3.19,160.69
1024,1000,2.35,452.62,3.23,317.2
2048,1000,2.8,731.65,3.31,618.3
4096,1000,3.65,1122.22,3.48,1176.87
8192,1000,4.69,1745.61,3.82,2146.44
16384,1000,6.41,2554.92,4.49,3649.93
32768,1000,9.84,3330.63,5.83,5617.26
65536,640,12.94,5065.11,8.52,7689.64
131072,320,21.78,6021.28,13.9,9428.95
262144,160,32.68,8020.52,24.66,10631.29
524288,80,56.35,9307.45,46.17,11355.27
1048576,40,98.18,10680.5,89.2,11755.55
2097152,20,184.32,11378.09,175.25,11966.46
4194304,10,354.35,11836.69,347.36,12074.78
8388608,5,697.93,12019.26,691.58,12129.68
16777216,2,1385.74,12107.05,1380.01,12157.31
33554432,1,2757.21,12169.69,2756.88,12171.18
67108864,1,5505.89,12188.6,5510.61,12178.12
134217728,1,10979.79,12224.08,11018.07,12181.6
268435456,1,21990.59,12206.85,22033.0,12183.34
536870912,1,44093.8,12175.71,44062.86,12184.21
